product	category
SMCOG1000	transporter
SMCOG1001	biosynthetic
SMCOG1002	biosynthetic
SMCOG1003	regulatory
SMCOG1004	biosynthetic
SMCOG1005	transporter
SMCOG1006	biosynthetic
SMCOG1007	biosynthetic
SMCOG1008	regulatory
SMCOG1009	biosynthetic
SMCOG1010	biosynthetic
SMCOG1011	transporter
SMCOG1012	biosynthetic
SMCOG1013	biosynthetic
SMCOG1014	regulatory
SMCOG1015	regulatory
SMCOG1016	regulatory
SMCOG1017	biosynthetic
SMCOG1018	biosynthetic
SMCOG1019	biosynthetic
SMCOG1020	transporter
SMCOG1021	biosynthetic
SMCOG1022	biosynthetic
SMCOG1023	biosynthetic
SMCOG1024	biosynthetic
SMCOG1025	biosynthetic
SMCOG1026	other
SMCOG1027	biosynthetic
SMCOG1028	biosynthetic
SMCOG1029	transporter
SMCOG1030	regulatory
SMCOG1031	regulatory
SMCOG1032	regulatory
SMCOG1033	transporter
SMCOG1034	biosynthetic
SMCOG1035	biosynthetic
SMCOG1036	biosynthetic
SMCOG1037	other
SMCOG1038	biosynthetic
SMCOG1039	biosynthetic
SMCOG1040	biosynthetic
SMCOG1041	regulatory
SMCOG1042	biosynthetic
SMCOG1043	biosynthetic
SMCOG1044	transporter
SMCOG1045	biosynthetic
SMCOG1046	biosynthetic
SMCOG1047	biosynthetic
SMCOG1048	regulatory
SMCOG1049	transporter
SMCOG1050	biosynthetic
SMCOG1051	transporter
SMCOG1052	biosynthetic
SMCOG1053	biosynthetic
SMCOG1054	other
SMCOG1055	biosynthetic
SMCOG1056	biosynthetic
SMCOG1057	regulatory
SMCOG1058	regulatory
SMCOG1059	biosynthetic
SMCOG1060	biosynthetic
SMCOG1061	other
SMCOG1062	biosynthetic
SMCOG1063	biosynthetic
SMCOG1064	biosynthetic
SMCOG1065	transporter
SMCOG1066	biosynthetic
SMCOG1067	transporter
SMCOG1068	transporter
SMCOG1069	transporter
SMCOG1070	biosynthetic
SMCOG1071	regulatory
SMCOG1072	biosynthetic
SMCOG1073	other
SMCOG1074	transporter
SMCOG1075	biosynthetic
SMCOG1076	transporter
SMCOG1077	other
SMCOG1078	regulatory
SMCOG1079	biosynthetic
SMCOG1080	biosynthetic
SMCOG1081	biosynthetic
SMCOG1082	transporter
SMCOG1083	biosynthetic
SMCOG1084	biosynthetic
SMCOG1085	transporter
SMCOG1086	transporter
SMCOG1087	other
SMCOG1088	biosynthetic
SMCOG1089	biosynthetic
SMCOG1090	biosynthetic
SMCOG1091	biosynthetic
SMCOG1092	other
SMCOG1093	biosynthetic
SMCOG1094	other
SMCOG1095	biosynthetic
SMCOG1096	transporter
SMCOG1097	other
SMCOG1098	biosynthetic
SMCOG1099	other
SMCOG1100	biosynthetic
SMCOG1101	biosynthetic
SMCOG1102	biosynthetic
SMCOG1103	biosynthetic
SMCOG1104	biosynthetic
SMCOG1105	biosynthetic
SMCOG1106	transporter
SMCOG1107	transporter
SMCOG1108	other
SMCOG1109	biosynthetic
SMCOG1110	biosynthetic
SMCOG1111	biosynthetic
SMCOG1112	regulatory
SMCOG1113	transporter
SMCOG1114	biosynthetic
SMCOG1115	biosynthetic
SMCOG1116	transporter
SMCOG1117	transporter
SMCOG1118	transporter
SMCOG1119	biosynthetic
SMCOG1120	regulatory
SMCOG1121	biosynthetic
SMCOG1122	other
SMCOG1123	biosynthetic
SMCOG1124	biosynthetic
SMCOG1125	regulatory
SMCOG1126	regulatory
SMCOG1127	biosynthetic
SMCOG1128	biosynthetic
SMCOG1129	biosynthetic
SMCOG1130	other
SMCOG1131	transporter
SMCOG1132	other
SMCOG1133	regulatory
SMCOG1134	biosynthetic
SMCOG1135	regulatory
SMCOG1136	regulatory
SMCOG1137	transporter
SMCOG1138	biosynthetic
SMCOG1139	biosynthetic
SMCOG1140	biosynthetic
SMCOG1141	biosynthetic
SMCOG1142	other
SMCOG1143	biosynthetic
SMCOG1144	biosynthetic
SMCOG1145	biosynthetic
SMCOG1146	biosynthetic
SMCOG1147	biosynthetic
SMCOG1148	other
SMCOG1149	regulatory
SMCOG1150	biosynthetic
SMCOG1151	other
SMCOG1152	biosynthetic
SMCOG1153	biosynthetic
SMCOG1154	biosynthetic
SMCOG1155	biosynthetic
SMCOG1156	biosynthetic
SMCOG1157	other
SMCOG1158	biosynthetic
SMCOG1159	biosynthetic
SMCOG1160	biosynthetic
SMCOG1161	biosynthetic
SMCOG1162	other
SMCOG1163	biosynthetic
SMCOG1164	other
SMCOG1165	biosynthetic
SMCOG1166	transporter
SMCOG1167	regulatory
SMCOG1168	biosynthetic
SMCOG1169	transporter
SMCOG1170	biosynthetic
SMCOG1171	regulatory
SMCOG1172	biosynthetic
SMCOG1173	other
SMCOG1174	biosynthetic
SMCOG1175	biosynthetic
SMCOG1176	biosynthetic
SMCOG1177	biosynthetic
SMCOG1178	biosynthetic
SMCOG1179	biosynthetic
SMCOG1180	biosynthetic
SMCOG1181	biosynthetic
SMCOG1182	biosynthetic
SMCOG1183	biosynthetic
SMCOG1184	transporter
SMCOG1185	other
SMCOG1186	transporter
SMCOG1187	biosynthetic
SMCOG1188	other
SMCOG1189	biosynthetic
SMCOG1190	biosynthetic
SMCOG1191	biosynthetic
SMCOG1192	other
SMCOG1193	biosynthetic
SMCOG1194	other
SMCOG1195	regulatory
SMCOG1196	biosynthetic
SMCOG1197	regulatory
SMCOG1198	other
SMCOG1199	other
SMCOG1200	other
SMCOG1201	regulatory
SMCOG1202	transporter
SMCOG1203	biosynthetic
SMCOG1204	biosynthetic
SMCOG1205	transporter
SMCOG1206	other
SMCOG1207	biosynthetic
SMCOG1208	other
SMCOG1209	biosynthetic
SMCOG1210	biosynthetic
SMCOG1211	other
SMCOG1212	transporter
SMCOG1213	other
SMCOG1214	transporter
SMCOG1215	regulatory
SMCOG1216	biosynthetic
SMCOG1217	biosynthetic
SMCOG1218	other
SMCOG1219	biosynthetic
SMCOG1220	biosynthetic
SMCOG1221	other
SMCOG1222	biosynthetic
SMCOG1223	other
SMCOG1224	regulatory
SMCOG1225	biosynthetic
SMCOG1226	other
SMCOG1227	other
SMCOG1228	biosynthetic
SMCOG1229	other
SMCOG1230	other
SMCOG1231	biosynthetic
SMCOG1232	other
SMCOG1233	biosynthetic
SMCOG1234	transporter
SMCOG1235	biosynthetic
SMCOG1236	biosynthetic
SMCOG1237	other
SMCOG1238	other
SMCOG1239	regulatory
SMCOG1240	biosynthetic
SMCOG1241	other
SMCOG1242	other
SMCOG1243	transporter
SMCOG1244	biosynthetic
SMCOG1245	other
SMCOG1246	biosynthetic
SMCOG1247	biosynthetic
SMCOG1248	biosynthetic
SMCOG1249	biosynthetic
SMCOG1250	other
SMCOG1251	other
SMCOG1252	transporter
SMCOG1253	other
SMCOG1254	transporter
SMCOG1255	regulatory
SMCOG1256	biosynthetic
SMCOG1257	biosynthetic
SMCOG1258	biosynthetic
SMCOG1259	other
SMCOG1260	regulatory
SMCOG1261	other
SMCOG1262	biosynthetic
SMCOG1263	biosynthetic
SMCOG1264	biosynthetic
SMCOG1265	other
SMCOG1266	regulatory
SMCOG1267	other
SMCOG1268	biosynthetic
SMCOG1269	other
SMCOG1270	biosynthetic
SMCOG1271	biosynthetic
SMCOG1272	other
SMCOG1273	other
SMCOG1274	biosynthetic
SMCOG1275	biosynthetic
SMCOG1276	biosynthetic
SMCOG1277	other
SMCOG1278	regulatory
SMCOG1279	biosynthetic
SMCOG1280	biosynthetic
SMCOG1281	other
SMCOG1282	transporter
SMCOG1283	biosynthetic
SMCOG1284	regulatory
SMCOG1285	other
SMCOG1286	other
SMCOG1287	regulatory
SMCOG1288	transporter
SMCOG1289	other
SMCOG1290	transporter
SMCOG1291	biosynthetic
SMCOG1292	other
SMCOG1293	biosynthetic
SMCOG1294	biosynthetic
SMCOG1295	other
SMCOG1296	other
SMCOG1297	biosynthetic
SMCOG1298	biosynthetic
SMCOG1299	other
SMCOG1300	other
